Language,YR-2011,YR-2012,YR-2013,YR-2014,YR-2015,YR-2016,YR-2017,YR-2018,YR-2019,YR-2020,YR-2021,Grand Total,,,,,,
1C Enterprise,0,0,0,289,462,1009,676,209,0,0,0,2645,,,,,,
ABAP,0,0,0,110,393,940,1095,1187,962,634,0,5321,,,,,,
ActionScript,106,948,2089,2353,2186,1439,897,242,365,0,0,10625,,,,,,
Ada,0,0,0,0,0,247,0,0,0,0,0,247,,,,,,
AGS Script,0,212,108,0,0,0,0,0,0,0,0,320,,,,,,
ApacheConf,0,0,0,380,1624,150,0,0,0,0,0,2154,,,,,,
Apex,0,0,0,1963,1648,1512,1667,978,708,146,0,8622,,,,,,
API Blueprint,0,0,134,0,0,0,330,605,0,0,0,1069,,,,,,
APL,0,0,0,0,213,0,0,0,0,0,0,213,,,,,,
AppleScript,0,0,0,0,100,0,0,0,0,0,0,100,,,,,,
Arduino,0,0,0,394,1067,1314,1140,0,0,0,0,3915,,,,,,
ASP,0,0,0,156,175,537,349,271,169,0,0,1657,,,,,,
Assembly,0,0,162,1067,1296,1118,1378,895,756,908,923,8503,,,,,,
AutoHotkey,0,1515,0,0,693,1166,1353,811,686,650,147,7021,,,,,,
AutoIt,0,0,0,0,120,0,293,0,0,0,0,413,,,,,,
Awk,0,0,0,0,0,0,0,148,0,0,0,148,,,,,,
Batchfile,0,0,0,110,862,1462,1675,634,498,120,0,5361,,,,,,
BitBake,0,0,0,0,0,866,1003,820,452,463,0,3604,,,,,,
Brightscript,0,106,299,195,0,0,0,0,0,0,0,600,,,,,,
C,1276,16423,44471,73609,114195,151362,150978,122209,113360,124754,90268,1002905,,,,,,
C#,888,12657,37850,77980,161275,242794,258690,189082,172367,151950,102178,1407711,,,,,,
C++,2280,35760,76914,142323,206343,266111,309431,268175,230031,234900,168453,1940721,,,,,,
Ceylon,0,0,187,398,327,1591,248,0,0,0,0,2751,,,,,,
Clojure,114,1612,2755,10045,15225,15220,13803,10513,6222,5531,3011,84051,,,,,,
CMake,0,0,0,516,2048,2336,2371,1585,1387,949,413,11605,,,,,,
CodeQL,0,0,0,0,0,0,0,0,0,568,845,1413,,,,,,
CoffeeScript,0,5007,13551,35108,55821,38839,24930,12112,5622,4735,2513,198238,,,,,,
