Language,YR-2011,YR-2012,YR-2013,YR-2014,YR-2015,YR-2016,YR-2017,YR-2018,YR-2019,YR-2020,YR-2021,Grand Total
1C Enterprise,0,0,0,0,0,178,151,0,0,0,0,329
ABAP,0,0,0,0,0,123,669,1358,1438,1155,0,4743
ActionScript,0,0,229,1515,1204,536,101,0,0,0,0,3585
Ada,0,0,0,0,0,0,240,0,0,0,0,240
AGS Script,0,0,0,0,0,139,0,0,0,0,0,139
ApacheConf,0,0,0,324,3849,760,137,0,0,0,0,5070
Apex,0,0,0,882,1043,1203,1411,2005,1878,0,0,8422
API Blueprint,0,0,0,0,106,823,137,0,0,0,0,1066
Arduino,0,0,0,102,671,1368,1596,0,0,0,0,3737
ASP,0,0,0,104,174,335,435,0,0,0,0,1048
Assembly,0,0,159,733,1644,1060,1373,976,722,1304,1082,9053
AutoHotkey,0,0,0,0,0,108,388,0,0,0,0,496
AutoIt,0,0,0,0,355,0,285,0,0,0,0,640
Batchfile,0,0,0,0,718,1323,1096,660,596,280,416,5089
BitBake,0,0,0,0,332,1714,2354,1925,1550,1810,1511,11196
Blade,0,0,0,0,0,0,0,0,107,0,0,107
BlitzBasic,0,0,0,0,0,0,0,0,0,0,153,153
C,623,14560,31661,64306,114149,146306,153689,122630,131482,133868,114026,1027300
C#,291,7650,20697,44574,123389,172612,209497,144026,159272,168845,130748,1181601
C++,1012,20120,44235,106360,189111,274053,334776,286704,305125,329484,254591,2145571
Ceylon,0,0,0,0,0,111,0,0,0,0,0,111
Clojure,0,1674,2858,8638,18166,20261,19905,14417,10931,9399,6106,112355
CMake,0,0,0,1068,2250,3269,4001,2289,1674,1398,658,16607
COBOL,0,0,0,0,0,0,119,0,0,0,0,119
CodeQL,0,0,0,0,0,0,0,0,0,3087,3686,6773
CoffeeScript,0,2944,8891,22165,32316,31503,18755,8471,6153,6245,4989,142432
ColdFusion,0,580,643,770,927,1093,593,264,339,0,0,5209
Common Lisp,0,103,471,746,1445,2815,2289,1175,840,1383,631,11898
Common Workflow Language,0,0,0,209,105,130,691,131,0,0,0,1266
Component Pascal,0,0,0,0,0,0,113,0,0,0,0,113
Coq,0,0,0,0,0,223,224,730,1310,853,1511,4851
Crystal,0,0,0,0,443,1830,3109,2385,1176,970,592,10505
CSS,0,2330,15376,44415,86242,121092,120944,44658,40006,41855,30028,546946
Cucumber,0,0,0,0,0,262,0,0,0,0,0,262
